Current working directory: /home/chris/github/kappa-threshold 
parameters.csv exists: TRUE 
parameters.csv absolute path: /home/chris/github/kappa-threshold/data/files/parameters.csv 
Processing model: gbm for dataset: liver-disorders 
Loaded 69 indices for fold 1 from: results/instances/original/vectors/liver-disorders_gbm_all_folds.csv 

=== Training model with 10 % noise in training data ===
Critical percentage for training noise: 50 %
Loading training noise data from: results/noise_injection/by_dataset/liver-disorders_sgpt_noise0.1.csv 
Altering 138 out of 276 training instances
Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.3281            -nan     0.1000    0.0107
     2        1.3141            -nan     0.1000    0.0036
     3        1.2935            -nan     0.1000    0.0088
     4        1.2778            -nan     0.1000    0.0070
     5        1.2597            -nan     0.1000    0.0023
     6        1.2488            -nan     0.1000    0.0039
     7        1.2405            -nan     0.1000    0.0013
     8        1.2318            -nan     0.1000    0.0008
     9        1.2205            -nan     0.1000    0.0023
    10        1.2130            -nan     0.1000    0.0018
    20        1.1270            -nan     0.1000    0.0027
    40        1.0240            -nan     0.1000   -0.0008
    60        0.9375            -nan     0.1000   -0.0007
    80        0.8812            -nan     0.1000   -0.0016
   100        0.8434            -nan     0.1000   -0.0007
   120        0.8100            -nan     0.1000   -0.0011
   140        0.7865            -nan     0.1000   -0.0015
   150        0.7720            -nan     0.1000   -0.0007

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.3225            -nan     0.1000    0.0105
     2        1.2754            -nan     0.1000    0.0056
     3        1.2583            -nan     0.1000    0.0033
     4        1.2287            -nan     0.1000    0.0107
     5        1.1988            -nan     0.1000    0.0120
     6        1.1785            -nan     0.1000    0.0059
     7        1.1544            -nan     0.1000    0.0077
     8        1.1389            -nan     0.1000    0.0027
     9        1.1221            -nan     0.1000    0.0041
    10        1.1081            -nan     0.1000   -0.0012
    20        0.9538            -nan     0.1000    0.0005
    40        0.7896            -nan     0.1000    0.0019
    60        0.6953            -nan     0.1000   -0.0022
    80        0.6202            -nan     0.1000   -0.0015
   100        0.5661            -nan     0.1000   -0.0011
   120        0.5181            -nan     0.1000   -0.0019
   140        0.4851            -nan     0.1000   -0.0029
   150        0.4714            -nan     0.1000   -0.0013

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.3127            -nan     0.1000    0.0101
     2        1.2619            -nan     0.1000    0.0249
     3        1.2301            -nan     0.1000    0.0114
     4        1.2045            -nan     0.1000    0.0065
     5        1.1606            -nan     0.1000    0.0194
     6        1.1360            -nan     0.1000    0.0063
     7        1.1167            -nan     0.1000    0.0019
     8        1.0948            -nan     0.1000    0.0043
     9        1.0614            -nan     0.1000    0.0091
    10        1.0391            -nan     0.1000    0.0031
    20        0.8680            -nan     0.1000   -0.0011
    40        0.6950            -nan     0.1000   -0.0004
    60        0.5763            -nan     0.1000   -0.0021
    80        0.4973            -nan     0.1000   -0.0020
   100        0.4389            -nan     0.1000   -0.0037
   120        0.3847            -nan     0.1000    0.0008
   140        0.3434            -nan     0.1000   -0.0005
   150        0.3243            -nan     0.1000   -0.0027

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.3433            -nan     0.1000    0.0047
     2        1.3281            -nan     0.1000    0.0061
     3        1.3179            -nan     0.1000    0.0037
     4        1.3123            -nan     0.1000   -0.0037
     5        1.3055            -nan     0.1000   -0.0002
     6        1.2949            -nan     0.1000    0.0022
     7        1.2872            -nan     0.1000   -0.0013
     8        1.2815            -nan     0.1000    0.0021
     9        1.2735            -nan     0.1000    0.0024
    10        1.2678            -nan     0.1000    0.0020
    20        1.2034            -nan     0.1000    0.0015
    40        1.1101            -nan     0.1000   -0.0010
    60        1.0467            -nan     0.1000   -0.0019
    80        0.9961            -nan     0.1000   -0.0005
   100        0.9540            -nan     0.1000   -0.0014
   120        0.9233            -nan     0.1000    0.0004
   140        0.9008            -nan     0.1000   -0.0028
   150        0.8898            -nan     0.1000   -0.0010

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.3342            -nan     0.1000    0.0058
     2        1.3175            -nan     0.1000    0.0074
     3        1.2998            -nan     0.1000    0.0043
     4        1.2822            -nan     0.1000    0.0048
     5        1.2665            -nan     0.1000    0.0019
     6        1.2546            -nan     0.1000    0.0015
     7        1.2346            -nan     0.1000    0.0058
     8        1.2272            -nan     0.1000   -0.0068
     9        1.2104            -nan     0.1000    0.0053
    10        1.1979            -nan     0.1000    0.0027
    20        1.0956            -nan     0.1000   -0.0012
    40        0.9443            -nan     0.1000    0.0004
    60        0.8557            -nan     0.1000   -0.0021
    80        0.7770            -nan     0.1000   -0.0006
   100        0.7150            -nan     0.1000   -0.0016
