Current working directory: /home/chris/github/kappa-threshold 
parameters.csv exists: TRUE 
parameters.csv absolute path: /home/chris/github/kappa-threshold/data/files/parameters.csv 
Processing model: gbm for dataset: mfeat-karhunen 
Loaded 400 indices for fold 1 from: results/instances/original/vectors/mfeat-karhunen_gbm_all_folds.csv 

=== Training model with 10 % noise in training data ===
Critical percentage for training noise: 100 %
Loading training noise data from: results/noise_injection/by_dataset/mfeat-karhunen_att1_noise0.1.csv 
Altering 1600 out of 1600 training instances
Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        2.3026            -nan     0.1000    0.4626
     2        2.0190            -nan     0.1000    0.2812
     3        1.8516            -nan     0.1000    0.2131
     4        1.7250            -nan     0.1000    0.1654
     5        1.6224            -nan     0.1000    0.1482
     6        1.5280            -nan     0.1000    0.1245
     7        1.4455            -nan     0.1000    0.1058
     8        1.3743            -nan     0.1000    0.0936
     9        1.3102            -nan     0.1000    0.0723
    10        1.2576            -nan     0.1000    0.0646
    20        0.8500            -nan     0.1000    0.0412
    40        0.4785            -nan     0.1000    0.0132
    60        0.3108            -nan     0.1000    0.0065
    80        0.2225            -nan     0.1000    0.0008
   100        0.1619            -nan     0.1000   -0.0006
   120        0.1219            -nan     0.1000   -0.0011
   140        0.0931            -nan     0.1000   -0.0001
   150        0.0832            -nan     0.1000   -0.0005

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        2.3026            -nan     0.1000    0.7149
     2        1.8605            -nan     0.1000    0.4190
     3        1.6094            -nan     0.1000    0.2741
     4        1.4363            -nan     0.1000    0.1872
     5        1.3164            -nan     0.1000    0.1876
     6        1.1903            -nan     0.1000    0.1637
     7        1.0911            -nan     0.1000    0.1339
     8        1.0059            -nan     0.1000    0.1047
     9        0.9354            -nan     0.1000    0.1030
    10        0.8668            -nan     0.1000    0.0788
    20        0.4878            -nan     0.1000    0.0234
    40        0.2193            -nan     0.1000    0.0064
    60        0.1167            -nan     0.1000    0.0008
    80        0.0682            -nan     0.1000    0.0005
   100        0.0420            -nan     0.1000    0.0004
   120        0.0260            -nan     0.1000    0.0001
   140        0.0168            -nan     0.1000    0.0001
   150        0.0134            -nan     0.1000   -0.0000

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        2.3026            -nan     0.1000    0.8395
     2        1.7681            -nan     0.1000    0.4249
     3        1.5047            -nan     0.1000    0.2843
     4        1.3284            -nan     0.1000    0.2601
     5        1.1673            -nan     0.1000    0.2010
     6        1.0411            -nan     0.1000    0.1514
     7        0.9387            -nan     0.1000    0.1351
     8        0.8530            -nan     0.1000    0.1078
     9        0.7802            -nan     0.1000    0.0976
    10        0.7128            -nan     0.1000    0.0759
    20        0.3555            -nan     0.1000    0.0237
    40        0.1309            -nan     0.1000    0.0025
    60        0.0592            -nan     0.1000    0.0011
    80        0.0287            -nan     0.1000    0.0002
   100        0.0149            -nan     0.1000    0.0001
   120        0.0079            -nan     0.1000    0.0001
   140        0.0043            -nan     0.1000    0.0001
   150        0.0031            -nan     0.1000    0.0000

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        2.3026            -nan     0.1000    0.3952
     2        2.0543            -nan     0.1000    0.3087
     3        1.8702            -nan     0.1000    0.2015
     4        1.7428            -nan     0.1000    0.1680
     5        1.6388            -nan     0.1000    0.1461
     6        1.5476            -nan     0.1000    0.1134
     7        1.4729            -nan     0.1000    0.1230
     8        1.3943            -nan     0.1000    0.0931
     9        1.3316            -nan     0.1000    0.0746
    10        1.2773            -nan     0.1000    0.0949
    20        0.8698            -nan     0.1000    0.0514
    40        0.5052            -nan     0.1000    0.0112
    60        0.3424            -nan     0.1000    0.0046
    80        0.2387            -nan     0.1000    0.0013
   100        0.1815            -nan     0.1000    0.0012
   120        0.1375            -nan     0.1000    0.0008
   140        0.1080            -nan     0.1000   -0.0006
   150        0.0950            -nan     0.1000   -0.0002

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        2.3026            -nan     0.1000    0.7193
     2        1.8674            -nan     0.1000    0.3868
     3        1.6317            -nan     0.1000    0.2614
     4        1.4654            -nan     0.1000    0.1970
     5        1.3408            -nan     0.1000    0.1554
     6        1.2385            -nan     0.1000    0.1374
     7        1.1482            -nan     0.1000    0.1301
     8        1.0623            -nan     0.1000    0.1266
     9        0.9780            -nan     0.1000    0.1059
    10        0.9062            -nan     0.1000    0.0894
    20        0.5096            -nan     0.1000    0.0328
    40        0.2379            -nan     0.1000    0.0038
    60        0.1321            -nan     0.1000    0.0017
    80        0.0777            -nan     0.1000    0.0009
   100        0.0485            -nan     0.1000    0.0004
   120        0.0313            -nan     0.1000    0.0004
   140        0.0207            -nan     0.1000   -0.0002
   150        0.0172            -nan     0.1000   -0.0001

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        2.3026            -nan     0.1000    0.8147
     2        1.7932            -nan     0.1000    0.4427
     3        1.5178            -nan     0.1000    0.2902
     4        1.3360            -nan     0.1000    0.2089
     5        1.2022            -nan     0.1000    0.1993
     6        1.0789            -nan     0.1000    0.1671
     7        0.9694            -nan     0.1000    0.1294
     8        0.8853            -nan     0.1000    0.1192
     9        0.8082            -nan     0.1000    0.0959
    10        0.7430            -nan     0.1000    0.0893
    20        0.3714            -nan     0.1000    0.0292
    40        0.1442            -nan     0.1000    0.0039
    60        0.0652            -nan     0.1000    0.0015
    80        0.0327            -nan     0.1000    0.0005
   100        0.0175            -nan     0.1000    0.0003
   120        0.0094            -nan     0.1000    0.0002
   140        0.0053            -nan     0.1000    0.0000
   150        0.0039            -nan     0.1000    0.0000

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        2.3026            -nan     0.1000    0.4754
     2        2.0355            -nan     0.1000    0.3153
     3        1.8483            -nan     0.1000    0.1879
     4        1.7234            -nan     0.1000    0.1719
     5        1.6166            -nan     0.1000    0.1422
     6        1.5251            -nan     0.1000    0.1378
     7        1.4375            -nan     0.1000    0.0977
     8        1.3714            -nan     0.1000    0.0952
     9        1.3049            -nan     0.1000    0.1111
    10        1.2353            -nan     0.1000    0.0730
    20        0.8542            -nan     0.1000    0.0313
    40        0.4955            -nan     0.1000    0.0134
    60        0.3193            -nan     0.1000    0.0049
    80        0.2285            -nan     0.1000    0.0033
   100        0.1603            -nan     0.1000    0.0002
   120        0.1194            -nan     0.1000    0.0007
   140        0.0905            -nan     0.1000   -0.0001
   150        0.0793            -nan     0.1000   -0.0005

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        2.3026            -nan     0.1000    0.7103
     2        1.8474            -nan     0.1000    0.4019
     3        1.6010            -nan     0.1000    0.2805
     4        1.4259            -nan     0.1000    0.2203
     5        1.2899            -nan     0.1000    0.1823
     6        1.1744            -nan     0.1000    0.1577
     7        1.0768            -nan     0.1000    0.1171
     8        1.0004            -nan     0.1000    0.1106
     9        0.9275            -nan     0.1000    0.0958
    10        0.8628            -nan     0.1000    0.0859
    20        0.4925            -nan     0.1000    0.0268
    40        0.2182            -nan     0.1000    0.0051
    60        0.1184            -nan     0.1000    0.0008
    80        0.0689            -nan     0.1000    0.0011
   100        0.0419            -nan     0.1000    0.0004
   120        0.0264            -nan     0.1000    0.0004
   140        0.0173            -nan     0.1000   -0.0000
   150        0.0139            -nan     0.1000    0.0003

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        2.3026            -nan     0.1000    0.8346
     2        1.7624            -nan     0.1000    0.4593
     3        1.4861            -nan     0.1000    0.2994
     4        1.2994            -nan     0.1000    0.2497
     5        1.1431            -nan     0.1000    0.1915
     6        1.0179            -nan     0.1000    0.1539
     7        0.9153            -nan     0.1000    0.1039
     8        0.8429            -nan     0.1000    0.0992
     9        0.7729            -nan     0.1000    0.0906
    10        0.7091            -nan     0.1000    0.0685
    20        0.3498            -nan     0.1000    0.0230
    40        0.1311            -nan     0.1000    0.0044
    60        0.0591            -nan     0.1000    0.0011
    80        0.0285            -nan     0.1000    0.0004
   100        0.0146            -nan     0.1000    0.0003
   120        0.0077            -nan     0.1000    0.0002
   140        0.0040            -nan     0.1000    0.0001
   150        0.0029            -nan     0.1000    0.0000

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        2.3026            -nan     0.1000    0.4751
     2        2.0171            -nan     0.1000    0.2731
     3        1.8513            -nan     0.1000    0.2033
     4        1.7240            -nan     0.1000    0.1406
     5        1.6286            -nan     0.1000    0.1605
     6        1.5311            -nan     0.1000    0.1411
     7        1.4439            -nan     0.1000    0.0913
     8        1.3757            -nan     0.1000    0.1184
     9        1.3013            -nan     0.1000    0.0974
    10        1.2373            -nan     0.1000    0.0785
    20        0.8477            -nan     0.1000    0.0430
    40        0.4756            -nan     0.1000    0.0150
    60        0.3088            -nan     0.1000    0.0048
    80        0.2151            -nan     0.1000    0.0001
   100        0.1596            -nan     0.1000    0.0005
   120        0.1209            -nan     0.1000    0.0007
   140        0.0928            -nan     0.1000    0.0005
   150        0.0810            -nan     0.1000   -0.0003

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        2.3026            -nan     0.1000    0.7549
     2        1.8383            -nan     0.1000    0.3602
     3        1.6154            -nan     0.1000    0.2821
     4        1.4378            -nan     0.1000    0.2152
     5        1.3061            -nan     0.1000    0.1770
     6        1.1879            -nan     0.1000    0.1637
     7        1.0856            -nan     0.1000    0.1450
     8        0.9893            -nan     0.1000    0.1213
     9        0.9103            -nan     0.1000    0.0708
    10        0.8574            -nan     0.1000    0.0839
    20        0.4830            -nan     0.1000    0.0279
    40        0.2216            -nan     0.1000    0.0042
    60        0.1218            -nan     0.1000    0.0023
    80        0.0724            -nan     0.1000    0.0004
   100        0.0468            -nan     0.1000    0.0000
   120        0.0300            -nan     0.1000    0.0002
   140        0.0194            -nan     0.1000    0.0002
   150        0.0155            -nan     0.1000    0.0003

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        2.3026            -nan     0.1000    0.8680
     2        1.7608            -nan     0.1000    0.3981
     3        1.5055            -nan     0.1000    0.2833
     4        1.3181            -nan     0.1000    0.2420
     5        1.1620            -nan     0.1000    0.1868
     6        1.0454            -nan     0.1000    0.1639
     7        0.9415            -nan     0.1000    0.1378
     8        0.8518            -nan     0.1000    0.1128
     9        0.7765            -nan     0.1000    0.0974
    10        0.7098            -nan     0.1000    0.0904
    20        0.3514            -nan     0.1000    0.0195
    40        0.1361            -nan     0.1000    0.0038
    60        0.0608            -nan     0.1000    0.0011
    80        0.0315            -nan     0.1000    0.0003
   100        0.0167            -nan     0.1000    0.0004
   120        0.0090            -nan     0.1000    0.0001
   140        0.0049            -nan     0.1000    0.0001
   150        0.0036            -nan     0.1000    0.0000

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        2.3026            -nan     0.1000    0.4532
     2        2.0299            -nan     0.1000    0.2819
     3        1.8544            -nan     0.1000    0.2316
     4        1.7216            -nan     0.1000    0.1849
     5        1.6071            -nan     0.1000    0.1443
     6        1.5189            -nan     0.1000    0.1078
     7        1.4478            -nan     0.1000    0.1034
     8        1.3781            -nan     0.1000    0.0844
     9        1.3202            -nan     0.1000    0.0862
    10        1.2572            -nan     0.1000    0.0684
    20        0.8386            -nan     0.1000    0.0301
    40        0.4822            -nan     0.1000    0.0101
    60        0.3181            -nan     0.1000    0.0030
    80        0.2249            -nan     0.1000    0.0019
   100        0.1640            -nan     0.1000    0.0023
   120        0.1234            -nan     0.1000   -0.0001
   140        0.0940            -nan     0.1000   -0.0002
   150        0.0834            -nan     0.1000   -0.0000

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        2.3026            -nan     0.1000    0.7731
     2        1.8249            -nan     0.1000    0.4215
     3        1.5666            -nan     0.1000    0.2751
     4        1.3982            -nan     0.1000    0.2118
     5        1.2722            -nan     0.1000    0.1869
     6        1.1563            -nan     0.1000    0.1569
     7        1.0569            -nan     0.1000    0.1203
     8        0.9768            -nan     0.1000    0.1115
     9        0.9036            -nan     0.1000    0.0958
    10        0.8395            -nan     0.1000    0.0864
    20        0.4714            -nan     0.1000    0.0176
    40        0.2189            -nan     0.1000    0.0028
    60        0.1203            -nan     0.1000    0.0013
    80        0.0711            -nan     0.1000    0.0007
   100        0.0450            -nan     0.1000    0.0004
   120        0.0293            -nan     0.1000    0.0001
   140        0.0192            -nan     0.1000    0.0001
   150        0.0156            -nan     0.1000    0.0001

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        2.3026            -nan     0.1000    0.8471
     2        1.7755            -nan     0.1000    0.4025
     3        1.5186            -nan     0.1000    0.3608
     4        1.3000            -nan     0.1000    0.2082
     5        1.1644            -nan     0.1000    0.1909
     6        1.0419            -nan     0.1000    0.1652
     7        0.9352            -nan     0.1000    0.1487
     8        0.8421            -nan     0.1000    0.0931
     9        0.7758            -nan     0.1000    0.0918
    10        0.7097            -nan     0.1000    0.0789
    20        0.3554            -nan     0.1000    0.0205
    40        0.1329            -nan     0.1000    0.0036
    60        0.0630            -nan     0.1000    0.0009
    80        0.0320            -nan     0.1000    0.0008
   100        0.0170            -nan     0.1000    0.0001
   120        0.0091            -nan     0.1000   -0.0000
   140        0.0050            -nan     0.1000    0.0001
   150        0.0037            -nan     0.1000    0.0000

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        2.3026            -nan     0.1000    0.4464
     2        2.0279            -nan     0.1000    0.2956
     3        1.8531            -nan     0.1000    0.2065
     4        1.7211            -nan     0.1000    0.1743
     5        1.6130            -nan     0.1000    0.1518
     6        1.5213            -nan     0.1000    0.1342
     7        1.4348            -nan     0.1000    0.1181
     8        1.3580            -nan     0.1000    0.0766
     9        1.3059            -nan     0.1000    0.0881
    10        1.2471            -nan     0.1000    0.0762
    20        0.8361            -nan     0.1000    0.0296
    40        0.4774            -nan     0.1000    0.0097
    60        0.3193            -nan     0.1000    0.0033
    80        0.2321            -nan     0.1000    0.0008
   100        0.1689            -nan     0.1000    0.0009
   120        0.1289            -nan     0.1000   -0.0001
   140        0.1003            -nan     0.1000   -0.0002
   150        0.0877            -nan     0.1000   -0.0001

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        2.3026            -nan     0.1000    0.7531
     2        1.8378            -nan     0.1000    0.3817
     3        1.6039            -nan     0.1000    0.3074
     4        1.4113            -nan     0.1000    0.2386
     5        1.2650            -nan     0.1000    0.1718
     6        1.1567            -nan     0.1000    0.1431
     7        1.0655            -nan     0.1000    0.1019
     8        0.9960            -nan     0.1000    0.1031
     9        0.9291            -nan     0.1000    0.0918
    10        0.8627            -nan     0.1000    0.0947
