Current working directory: /home/chris/github/kappa-threshold 
parameters.csv exists: TRUE 
parameters.csv absolute path: /home/chris/github/kappa-threshold/data/files/parameters.csv 
Processing model: gbm for dataset: ozone-level-8hr 
Loaded 507 indices for fold 1 from: results/instances/original/vectors/ozone-level-8hr_gbm_all_folds.csv 

=== Training model with 10 % noise in training data ===
Critical percentage for training noise: 100 %
Loading training noise data from: results/noise_injection/by_dataset/ozone-level-8hr_V42_noise0.1.csv 
Altering 2027 out of 2027 training instances
Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        0.4363            -nan     0.1000    0.0081
     2        0.4267            -nan     0.1000    0.0043
     3        0.4218            -nan     0.1000    0.0028
     4        0.4132            -nan     0.1000    0.0038
     5        0.4054            -nan     0.1000    0.0034
     6        0.3987            -nan     0.1000    0.0027
     7        0.3947            -nan     0.1000    0.0010
     8        0.3881            -nan     0.1000    0.0028
     9        0.3821            -nan     0.1000    0.0023
    10        0.3770            -nan     0.1000    0.0014
    20        0.3416            -nan     0.1000   -0.0003
    40        0.3059            -nan     0.1000   -0.0000
    60        0.2798            -nan     0.1000    0.0001
    80        0.2665            -nan     0.1000    0.0002
   100        0.2462            -nan     0.1000   -0.0001
   120        0.2354            -nan     0.1000    0.0001
   140        0.2237            -nan     0.1000   -0.0000
   150        0.2181            -nan     0.1000   -0.0002

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        0.4265            -nan     0.1000    0.0104
     2        0.4001            -nan     0.1000    0.0123
     3        0.3861            -nan     0.1000    0.0069
     4        0.3777            -nan     0.1000    0.0030
     5        0.3677            -nan     0.1000    0.0032
     6        0.3593            -nan     0.1000    0.0031
     7        0.3550            -nan     0.1000    0.0016
     8        0.3493            -nan     0.1000    0.0016
     9        0.3434            -nan     0.1000    0.0022
    10        0.3267            -nan     0.1000    0.0064
    20        0.2851            -nan     0.1000    0.0004
    40        0.2310            -nan     0.1000    0.0005
    60        0.1995            -nan     0.1000   -0.0003
    80        0.1771            -nan     0.1000   -0.0000
   100        0.1555            -nan     0.1000    0.0002
   120        0.1384            -nan     0.1000    0.0000
   140        0.1259            -nan     0.1000   -0.0001
   150        0.1214            -nan     0.1000   -0.0003

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        0.4244            -nan     0.1000    0.0097
     2        0.3961            -nan     0.1000    0.0081
     3        0.3746            -nan     0.1000    0.0062
     4        0.3617            -nan     0.1000    0.0033
     5        0.3494            -nan     0.1000    0.0027
     6        0.3379            -nan     0.1000    0.0041
     7        0.3313            -nan     0.1000    0.0026
     8        0.3221            -nan     0.1000    0.0039
     9        0.3170            -nan     0.1000    0.0012
    10        0.3067            -nan     0.1000    0.0001
    20        0.2495            -nan     0.1000    0.0016
    40        0.1820            -nan     0.1000   -0.0001
    60        0.1490            -nan     0.1000   -0.0001
    80        0.1272            -nan     0.1000   -0.0003
   100        0.1077            -nan     0.1000   -0.0001
   120        0.0876            -nan     0.1000   -0.0002
   140        0.0748            -nan     0.1000   -0.0001
   150        0.0699            -nan     0.1000   -0.0005

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        0.4404            -nan     0.1000    0.0035
     2        0.4250            -nan     0.1000    0.0064
     3        0.4123            -nan     0.1000    0.0043
     4        0.4020            -nan     0.1000    0.0038
     5        0.3922            -nan     0.1000    0.0045
     6        0.3861            -nan     0.1000    0.0026
     7        0.3822            -nan     0.1000    0.0010
     8        0.3758            -nan     0.1000    0.0023
     9        0.3685            -nan     0.1000    0.0032
    10        0.3640            -nan     0.1000    0.0006
    20        0.3301            -nan     0.1000    0.0004
    40        0.2918            -nan     0.1000   -0.0001
    60        0.2663            -nan     0.1000    0.0005
    80        0.2471            -nan     0.1000    0.0005
   100        0.2324            -nan     0.1000    0.0001
   120        0.2185            -nan     0.1000   -0.0001
   140        0.2101            -nan     0.1000   -0.0001
   150        0.2033            -nan     0.1000   -0.0002

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        0.4236            -nan     0.1000    0.0067
     2        0.3990            -nan     0.1000    0.0125
     3        0.3855            -nan     0.1000    0.0049
     4        0.3700            -nan     0.1000    0.0058
     5        0.3584            -nan     0.1000    0.0038
     6        0.3524            -nan     0.1000    0.0022
     7        0.3410            -nan     0.1000    0.0037
     8        0.3319            -nan     0.1000    0.0006
     9        0.3258            -nan     0.1000    0.0018
    10        0.3195            -nan     0.1000    0.0024
    20        0.2627            -nan     0.1000    0.0014
    40        0.2120            -nan     0.1000   -0.0001
    60        0.1858            -nan     0.1000   -0.0002
    80        0.1640            -nan     0.1000    0.0001
   100        0.1436            -nan     0.1000    0.0001
   120        0.1292            -nan     0.1000    0.0004
   140        0.1191            -nan     0.1000   -0.0000
   150        0.1117            -nan     0.1000   -0.0000

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        0.4174            -nan     0.1000    0.0071
     2        0.3836            -nan     0.1000    0.0164
     3        0.3711            -nan     0.1000    0.0016
     4        0.3567            -nan     0.1000    0.0050
     5        0.3482            -nan     0.1000    0.0018
     6        0.3389            -nan     0.1000    0.0035
     7        0.3178            -nan     0.1000    0.0095
     8        0.3119            -nan     0.1000    0.0009
     9        0.3014            -nan     0.1000    0.0027
    10        0.2934            -nan     0.1000    0.0024
    20        0.2390            -nan     0.1000    0.0008
    40        0.1762            -nan     0.1000    0.0011
    60        0.1359            -nan     0.1000    0.0001
    80        0.1150            -nan     0.1000   -0.0002
